socioeconomic_stratum_label,households_unweighted,households_weighted,share_with_government_benefits_unweighted,share_with_government_benefits_weighted,mean_current_income_unweighted,mean_current_income_weighted,mean_government_benefits_income_among_recipients
High,5880,3666493,0.22925170068027212,0.232588470781207,117626.06825170066,122056.5343363372,5635.339191394659
Low,21142,7095004,0.5059124018541292,0.5135592594450968,41032.56267950052,37310.039800716106,4773.5366894166045
Lower-middle,47308,18820115,0.32698486513908853,0.3199410311786086,58131.08595374989,56306.74352520693,5244.7485209127935
Upper-middle,15772,7978511,0.2869642404260715,0.2897251128688047,78059.30892531067,77768.33728404585,5928.047887759611
