has_elderly_member,households_unweighted,households_weighted,share_with_government_benefits_unweighted,share_with_government_benefits_weighted,mean_current_income_unweighted,mean_current_income_weighted,mean_government_benefits_income_among_recipients
0,67165,27905280,0.19684359413384947,0.18316691321499015,62534.75882140997,63972.2730413997,2897.2586680281365
1,22937,9654843,0.8204211535946287,0.799398498763781,58430.548019357375,62895.38232888304,6818.518887235626
