threshold,accuracy,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives,false_positive_rate,false_negative_rate,predicted_positive_rate
0.2,0.7238437958150074,0.5745584805064978,0.8614788908318761,0.6893553223388306,9396,5107,1109,6897,0.35213404123284836,0.1385211091681239,0.5332977919943134
0.25,0.7646274823403971,0.6320717908700741,0.8093929552835374,0.70982582977325,10731,3772,1526,6480,0.2600841205267876,0.19060704471646264,0.4554622595406282
0.3,0.7895064196543605,0.6821221578243424,0.7644266799900075,0.7209329720815173,11651,2852,1886,6120,0.1966489691787906,0.2355733200099925,0.39859611710871207
0.35,0.8056777289084366,0.7267166042446941,0.7270796902323258,0.7268981018981019,12314,2189,2185,5821,0.15093428945735365,0.27292030976767423,0.3558576569372251
0.39999999999999997,0.8104758096761295,0.7565861690450055,0.6887334499125656,0.721067085131424,12729,1774,2492,5514,0.1223195200992898,0.3112665500874344,0.32378159847172244
0.44999999999999996,0.8133191167977254,0.7817777777777778,0.6591306520109917,0.7152344808891299,13030,1473,2729,5277,0.10156519340826035,0.34086934798900825,0.2998800479808077
0.49999999999999994,0.813496823492825,0.7972213549797065,0.6378965775668248,0.708714959755759,13204,1299,2899,5107,0.08956767565331311,0.3621034224331751,0.28459727220223024
0.5499999999999999,0.8131414101026256,0.8107621851488387,0.6191606295278541,0.7021246458923512,13346,1157,3049,4957,0.0797765979452527,0.3808393704721459,0.27162468345994933
0.5999999999999999,0.8113643431516282,0.820600272851296,0.6010492130901823,0.6938716654650324,13451,1052,3194,4812,0.07253671654140523,0.3989507869098176,0.26051801501621574
0.6499999999999999,0.8053223155182372,0.8286180631120783,0.5706969772670497,0.6758875739644971,13558,945,3437,4569,0.06515893263462731,0.4293030227329503,0.24496867919498866
0.7,0.7963037007419255,0.8399920492943749,0.5278541094179365,0.648308659967784,13698,805,3780,4226,0.05550575742949734,0.47214589058206347,0.22351059576169532
0.7499999999999999,0.7802656715091741,0.8499542543458372,0.46415188608543595,0.6004201001777347,13847,656,4290,3716,0.045232020961180446,0.5358481139145641,0.1942334177440135
0.7999999999999998,0.7576524945577324,0.8573830204539087,0.38221333999500373,0.5287257019438445,13994,509,4946,3060,0.035096186995793976,0.6177866600049963,0.15855879870274112
