locality_size_label,households_unweighted,households_weighted,share_with_government_benefits_unweighted,share_with_government_benefits_weighted,mean_current_income_unweighted,mean_current_income_weighted,mean_government_benefits_income_among_recipients
"100,000 or more inhabitants",33031,18228094,0.26793012624504253,0.2752530791206146,76557.57227150252,77291.68653860738,5579.0756056497175
"15,000 to 99,999 inhabitants",11501,5490755,0.3252760629510477,0.3174417725795451,63941.71103904009,62030.55550767792,5238.29169740711
"2,500 to 14,999 inhabitants",11538,5205548,0.3872421563529208,0.3831398730738819,54295.7668183394,52015.69223174775,4924.6981087735
"Less than 2,500 inhabitants",34032,8635726,0.44017395392571695,0.4718310886658516,48476.05812911378,43095.89490804016,5049.447648197596
