head_sex_label,households_unweighted,households_weighted,share_with_government_benefits_unweighted,share_with_government_benefits_weighted,mean_current_income_unweighted,mean_current_income_weighted,mean_government_benefits_income_among_recipients
Female,28197,12162564,0.38348051211121753,0.37227915100796183,55148.556452814126,57368.968850035235,4917.625900305188
Male,61905,25397559,0.3428802196914627,0.326862987108328,64378.397703901144,66725.13204967808,5344.448148968247
