variable,coefficient,odds_ratio,conf_low,conf_high,p_value,significant_5pct
log_income_per_capita,-0.3515208664998596,0.7036171677812828,0.6801736883599514,0.7278686712952598,6.727483204444474e-92,True
head_age,0.011589006063644042,1.0116564187581,1.0096521023492178,1.0136647140466954,2.263724001403009e-30,True
household_members,0.34855326414394894,1.4170160170584933,1.3897446562190174,1.4448225316895014,1.0173126879488428e-270,True
has_elderly_member,3.047318739585388,21.058804518375844,19.661030405431692,22.555951473461427,0.0,True
has_minor_member,-0.372734594526765,0.6888480326229371,0.6493685714176528,0.7307277144820435,3.442343275037543e-35,True
employed_members,-0.16292000468307705,0.8496591544494084,0.8289799555073439,0.870854203341818,2.0711884684395966e-38,True
food_spending_share,-0.12235944062363878,0.884830267393695,0.7764348412225242,1.008358410170331,0.06648688760685419,False
"locality_size_label_15,000 to 99,999 inhabitants",0.31562413545350554,1.3711148053178703,1.2761991106995376,1.4730897346663874,6.509664237846239e-18,True
"locality_size_label_2,500 to 14,999 inhabitants",0.48110480591826554,1.6178608374071826,1.5021565729068063,1.7424772732917089,5.360188018225077e-37,True
"locality_size_label_Less than 2,500 inhabitants",0.4232448574986919,1.5269081251014,1.4294866948474156,1.63096895613256,2.6418370114904135e-36,True
socioeconomic_stratum_label_Low,0.9470540422974733,2.5781034772747313,2.2879765375497385,2.90501997308684,1.646939210345917e-54,True
socioeconomic_stratum_label_Lower-middle,0.13562535638451295,1.1452527515807247,1.0320106186127231,1.2709209007619904,0.01067652067661123,True
socioeconomic_stratum_label_Upper-middle,0.005528684613846488,1.0055439959948866,0.9051274498842184,1.1171009430889587,0.9179661544107981,False
head_sex_label_Male,-0.12059709736456826,0.8863910169351196,0.8475385771707595,0.9270245108205584,1.3387758854763278e-07,True
